recipe_name,extraction_day,extraction_time,cuisine_types,diets_types,macronutrients
Bone Broth From 'Nom Nom Paleo',2022-10-16,17:20:09,['american'],['paleo'],"{'protein': 5.22, 'carbs': 1.29, 'fat': 3.2}"
"Paleo Effect Asian-Glazed Pork Sides, A Sweet & Crispy Appetizer",2022-10-16,17:20:09,['south east asian'],['paleo'],"{'protein': 181.55, 'carbs': 28.62, 'fat': 146.14}"
Paleo Pumpkin Pie,2022-10-16,17:20:09,['american'],['paleo'],"{'protein': 30.91, 'carbs': 302.59, 'fat': 96.76}"
Strawberry Guacamole recipes,2022-10-16,17:20:09,['mexican'],['paleo'],"{'protein': 9.62, 'carbs': 75.78, 'fat': 59.89}"
"Asian Cauliflower Fried ""Rice"" From 'Nom Nom Paleo'",2022-10-16,17:20:09,['chinese'],['paleo'],"{'protein': 39.84, 'carbs': 54.08, 'fat': 71.55}"
Paleo Shrimp-Stuffed Mushrooms recipes,2022-10-16,17:20:09,['mediterranean'],['paleo'],"{'protein': 68.62, 'carbs': 34.15, 'fat': 42.44}"
Paleo Pumpkin Pie recipes,2022-10-16,17:20:09,['american'],['paleo'],"{'protein': 30.03, 'carbs': 275.88, 'fat': 97.68}"
Autoimmune Paleo Pesto,2022-10-16,17:20:09,['italian'],['paleo'],"{'protein': 4.25, 'carbs': 14.15, 'fat': 72.9}"
Baked Banana Chip Encrusted French Toast,2022-10-16,17:20:09,['french'],['paleo'],"{'protein': 152.88, 'carbs': 1874.52, 'fat': 385.8}"
Vietnamese Pho Pressure Cooker (Noodle Soup),2022-10-16,17:20:09,['south east asian'],['paleo'],"{'protein': 602.91, 'carbs': 274.87, 'fat': 400.01}"
Paleo Collard Burrito,2022-10-16,17:20:09,['mexican'],['paleo'],"{'protein': 44.62, 'carbs': 28.66, 'fat': 78.46}"
Paleo Chawanmushi (Savory Egg Custard) recipes,2022-10-16,17:20:09,['american'],['paleo'],"{'protein': 61.43, 'carbs': 13.29, 'fat': 24.6}"
‘paleo' banana bread,2022-10-16,17:20:09,['american'],['paleo'],"{'protein': 46.69, 'carbs': 192.54, 'fat': 156.48}"
Leftover Turkey Sandwich recipes,2022-10-16,17:20:16,['american'],['paleo'],"{'protein': 54.09, 'carbs': 34.97, 'fat': 14.1}"
Paleo Pumpkin Waffles,2022-10-16,17:20:16,['american'],['paleo'],"{'protein': 51.24, 'carbs': 89.63, 'fat': 78.38}"
Fudgy Paleo Brownies,2022-10-16,17:20:16,['french'],['paleo'],"{'protein': 64.29, 'carbs': 263.65, 'fat': 176.36}"
Magic Wings recipes,2022-10-16,17:20:16,['american'],['paleo'],"{'protein': 320.76, 'carbs': 28.36, 'fat': 252.82}"
Turkey Club Sandwich,2022-10-16,17:20:16,['american'],['paleo'],"{'protein': 46.92, 'carbs': 39.94, 'fat': 19.6}"
Easy Paleo Meatloaf,2022-10-16,17:20:16,['american'],['paleo'],"{'protein': 185.99, 'carbs': 47.82, 'fat': 260.64}"
Paleo Crepes,2022-10-16,17:20:16,['french'],['paleo'],"{'protein': 15.73, 'carbs': 15.91, 'fat': 49.16}"
Chocolate Pecan Pie recipes,2022-10-16,17:20:16,['american'],['paleo'],"{'protein': 59.86, 'carbs': 567.39, 'fat': 320.76}"
Simple Crab Salad recipes,2022-10-16,17:20:16,['american'],['paleo'],"{'protein': 82.1, 'carbs': 4.75, 'fat': 20.24}"
Chocolate Pecan Pie,2022-10-16,17:20:16,['american'],['paleo'],"{'protein': 54.7, 'carbs': 503.39, 'fat': 320.12}"
Asian Meatballs recipes,2022-10-16,17:20:16,['indian'],['paleo'],"{'protein': 167.07, 'carbs': 55.11, 'fat': 210.14}"
Blueberry French Toast Casserole,2022-10-16,17:20:16,['french'],['paleo'],"{'protein': 78.59, 'carbs': 290.1, 'fat': 84.95}"
Paleo Spanish Rice,2022-10-16,17:20:23,['mediterranean'],['paleo'],"{'protein': 28.67, 'carbs': 64.13, 'fat': 37.71}"
Whole30® Sriracha,2022-10-16,17:20:23,['south east asian'],['paleo'],"{'protein': 12.16, 'carbs': 85.78, 'fat': 2.91}"
Banana Cream Pie,2022-10-16,17:20:23,['american'],['paleo'],"{'protein': 17.85, 'carbs': 215.69, 'fat': 304.25}"
